"name","handedness","height","weight","avg","HR"
"Ike Brown","R",72,190,0.256,20
"Billy North","B",71,185,0.261,20
"Steve Brye","R",72,190,0.258,30
"Ron Jackson","R",72,200,0.259,56
"Ray Webster","L",72,185,0.244,17
"Bob Kearney","R",72,190,0.233,27
"Dick Dietz","R",73,195,0.261,66
"Bobby Mitchell","R",75,185,0.235,21
"Mickey Brantley","R",70,180,0.259,32
"Fernando Gonzalez","R",70,165,0.235,17
"Andy Kosco","R",75,205,0.236,73
"Don Kessinger","B",73,170,0.252,14
"Joe Hague","L",72,195,0.239,40
"Mike Hegan","L",73,188,0.242,53
"Mike Diaz","R",74,195,0.247,31
"Tim Foli","R",72,179,0.251,25
"Rob Wilfong","L",73,180,0.248,39
"Rob Picciolo","R",74,185,0.234,17
"Roberto Pena","R",68,170,0.245,13
"Bob Dernier","R",72,160,0.255,23
"Rich Reese","L",75,185,0.253,52
"Jack Hiatt","R",74,190,0.251,22
"Rafael Santana","R",73,165,0.246,13
"Jerry Hairston","B",70,170,0.258,30
"Steve Dillard","R",73,180,0.243,13
"Ken Walters","R",73,180,0.231,11
"Larry Bowa","B",70,155,0.26,15
"Pete LaCock","L",74,200,0.257,27
"Gary Gray","R",72,187,0.24,24
"Dalton Jones","L",73,180,0.235,41
"Jerry May","R",74,190,0.234,15
"Clint Hurdle","L",75,195,0.259,32
"Mike Andrews","R",75,195,0.258,66
"Bobby Clark","R",72,190,0.239,19
"Charlie James","R",73,195,0.255,29
"Tom Veryzer","R",73,175,0.241,14
"Jim Essian","R",74,195,0.244,33
"Alex Trevino","R",70,165,0.249,23
"Chuck Harrison","R",70,185,0.238,17
"Marvell Wynne","L",71,175,0.247,40
"Bob Stinson","B",71,180,0.25,33
"Dave Marshall","L",73,182,0.246,16
"John Orsino","R",75,215,0.249,40
"Fran Healy","R",77,220,0.25,20
"Doc Edwards","R",74,215,0.238,15
"Sandy Alomar","B",69,140,0.245,13
"Ron Woods","R",70,168,0.233,26
"Brant Alyea","R",75,215,0.247,38
"Lou Johnson","R",71,170,0.258,48
"Terry Harper","R",76,195,0.253,36
"Jerry Royster","R",72,165,0.249,40
"Phil Gagliano","R",73,180,0.238,14
"Jerry McNertney","R",72,180,0.237,27
"Kiko Garcia","R",71,180,0.239,12
"Larry Milbourne","B",72,161,0.254,11
"Bill Sudakis","B",73,190,0.234,59
"Ray Fosse","R",74,215,0.256,61
"Paul Popovich","B",72,175,0.233,14
"Charley Smith","R",73,170,0.239,69
"Felix Torres","R",71,165,0.254,27
"Hosken Powell","L",73,175,0.259,17
"Joe Lis","R",72,175,0.233,32
"Eddie Leon","R",72,170,0.236,24
"Jim Wohlford","R",71,175,0.26,21
"Paul Schaal","R",71,165,0.244,57
"Tito Landrum","R",71,175,0.249,13
"Dave Edwards","R",72,170,0.237,14
"Ron Roenicke","B",72,180,0.238,17
"Biff Pocoroba","B",70,175,0.257,21
"Len Matuszek","L",74,190,0.234,30
"Joe Lefebvre","L",70,170,0.258,31
"Dale Berra","R",72,180,0.236,49
"Carl Warwick","R",70,170,0.248,31
"George Wright","B",71,180,0.245,42
"Luis Aguayo","R",69,173,0.236,37
"Len Randle","B",70,169,0.257,27
"Greg Pryor","R",72,180,0.25,14
"Dave Nelson","R",70,160,0.244,20
"Bill Nahorodny","R",74,200,0.241,25
"Jerry Turner","L",69,180,0.257,45
"Phil Linz","R",73,180,0.235,11
"Ron Washington","R",71,155,0.261,20
"Billy Grabarkewitz","R",70,165,0.236,28
"Joe Wallis","B",71,180,0.244,16
"Mike Cubbage","L",72,180,0.258,34
"John Wathan","R",74,205,0.262,21
"Ed Ott","L",70,190,0.259,33
"Norm Miller","L",70,185,0.238,24
"Bob Chance","L",74,196,0.261,24
"Julio Cruz","B",69,165,0.237,23
"Craig Kusick","R",75,210,0.235,46
"Glenn Hoffman","R",73,175,0.242,23
"Joe Gaines","R",73,190,0.241,21
"Charlie Moore","R",71,180,0.261,36
"Bruce Benedict","R",73,175,0.242,18
"John Ellis","R",74,225,0.262,69
"Len Gabrielson","L",76,210,0.253,37
"Tom Grieve","R",74,190,0.249,65
"Bill Schroeder","R",74,200,0.24,61
"Clay Dalrymple","L",72,190,0.233,55
"Al Luplow","L",70,175,0.235,33
"Doug Ault","R",75,200,0.236,17
"Jake Wood","R",73,163,0.25,35
"Bob Brower","R",71,185,0.242,17
"Ivan Murrell","R",74,195,0.236,33
"Garth Iorg","R",71,170,0.258,20
"Rey Quinones","R",71,160,0.243,29
"Champ Summers","L",74,205,0.255,54
"Bobby Valentine","R",70,189,0.26,12
"Ed Stroud","L",71,180,0.237,14
"Ron Swoboda","R",74,195,0.242,73
"Harry Spilman","L",73,180,0.237,18
"Al Ferrara","R",73,200,0.259,51
"Freddie Patek","R",65,148,0.242,41
"Ken Hubbs","R",74,175,0.247,14
"Pepe Mangual","R",70,157,0.242,16
"Leron Lee","L",72,196,0.25,31
"Jerry Moses","R",75,210,0.251,25
"Roy Foster","R",72,185,0.253,45
"Hal Breeden","R",74,200,0.243,21
"Fred Kendall","R",73,185,0.234,31
"Mike Anderson","R",74,200,0.246,28
"Rod Gilbreath","R",74,180,0.248,14
"Mark Brouhard","R",73,210,0.259,25
"Mike Young","B",74,195,0.247,72
"Marty Perez","R",71,160,0.246,22
"Jerry Grote","R",70,185,0.252,39
"Jim Beauchamp","R",74,190,0.231,14
"Art Shamsky","L",73,168,0.253,68
"Butch Wynegar","B",73,190,0.255,65
"Ellie Rodriguez","R",71,185,0.245,16
"Steve Nicosia","R",70,185,0.248,11
"Ted Savage","R",73,185,0.233,34
"Rich Dauer","R",72,180,0.257,43
"Rowland Office","L",72,170,0.259,32
"Larry Harlow","L",74,185,0.248,12
"Mike Shannon","R",75,195,0.255,68
"Rick Joseph","R",73,192,0.243,13
"Bill Almon","R",75,180,0.254,36
"Jesse Gonder","L",70,180,0.251,26
"Gary Sutherland","R",72,185,0.243,24
"Dave Rader","L",71,165,0.257,30
"Buck Rodgers","B",74,190,0.232,31
"Brian Asselstine","L",73,175,0.254,12
"Floyd Rayford","R",70,190,0.244,38
"Frank Duffy","R",73,180,0.232,26
"Tom O'Malley","L",72,180,0.256,13
